rep,id,eta_k1_hat,eta_alpha1,eta_beta,eta_db,eta_ER0,eta_E2ER0
8,132,0.227277,0.0428294,1.92061,-1.62884,2.92328,-1.92735
9,132,0.296408,-0.352795,-0.554279,-1.02727,-2.75462,3.14503
10,132,0.246567,0.131205,0.419601,-0.241331,6.27749,-1.53991
1,133,-0.260483,-0.0484167,4.1364,1.09601,6.83185,1.67717
2,133,-0.210483,-0.177359,0.203241,0.565067,0.65261,-7.60144
3,133,-0.302396,-0.00151173,1.24252,1.80435,1.08261,2.56257
4,133,-0.270032,0.348953,0.952806,1.2253,-0.498495,3.17286
5,133,-0.232579,0.850853,2.33062,1.32195,-0.672569,2.2918
6,133,-0.161462,0.185697,0.0142699,0.730144,4.07972,4.93566
7,133,-0.169385,0.578683,-0.84659,0.985684,-1.63297,6.70619
8,133,-0.289498,-0.0167002,1.50025,0.913926,-5.8286,4.15904
9,133,-0.269472,-0.252457,1.75081,0.0844541,3.91016,7.56883
10,133,-0.233542,-0.667496,0.347731,-0.829566,3.94728,1.9164
1,134,0.567272,-0.144514,-2.71009,0.319064,0.267861,0.920607
2,134,0.317091,-0.659514,-0.487966,1.74292,-1.49292,0.246612
3,134,0.566573,0.691907,-1.6643,-0.147192,-4.31059,-1.70848
4,134,0.537054,-0.718813,-0.862536,-2.35412,0.519358,1.80628
5,134,0.629717,0.429864,-2.03506,-0.250946,-1.66753,-5.42626
6,134,0.31943,-0.339884,0.0911916,0.0251075,1.87422,-7.39914
7,134,0.380571,0.415657,-0.732927,0.462929,1.64483,2.24787
8,134,0.567691,0.365272,-2.26092,0.820872,-3.87153,3.69374
9,134,0.46565,0.276314,-1.45732,0.618089,-0.365648,4.42116
10,134,0.571247,-0.118196,-3.16553,0.713231,2.66781,3.98185
1,135,0.449564,-0.8353,-1.01521,-2.04417,1.19035,-1.24917
2,135,0.301925,-0.0254716,-1.30023,0.108521,-5.52649,-0.0564101
3,135,0.251748,-0.00993485,-0.0372373,-0.538683,-9.06311,-0.609677
4,135,0.52708,0.463567,-2.70436,0.914992,-4.4917,2.3374
5,135,0.241204,0.237512,-0.38207,1.16834,-2.95465,4.51042
6,135,0.350786,0.367962,-0.661109,-0.655538,-3.48852,-1.65423
7,135,0.234026,-0.102535,1.07012,-0.74106,-1.53574,3.59051
8,135,0.3365,-0.610864,-0.230439,-1.56111,0.0914346,1.4182
9,135,0.374817,0.0888373,-0.374725,-1.09552,-2.2736,5.17044
10,135,0.222479,-0.224896,-0.519187,0.609445,6.24879,-0.3561
